wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (22.19016384590438307 51.61186569280277325);54203;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.19043390748895916 51.61234294912333809);54200;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.19038716882094064 51.61210938724904196);54201;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.19071896025290869 51.61250452662802246);54198;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.19066632645305504 51.61243820774562607);54199;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.19067092526454488 51.61266022950454158);54196;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.19074718291726356 51.61274192115740789);54197;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.15792575690812782 51.60900510938556351);54210;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15792768961668813 51.60893514769386314);54211;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15792525023115189 51.60918507065275662);54208;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
