wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (17.05168097567373664 54.46929788323653554),yes,natural_monument,108275,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.0522292208528583 54.46957907770491403),yes,natural_monument,108274,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05261364662607093 54.4696108102175387),yes,natural_monument,108273,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05416627557760378 54.46981367754732872),yes,natural_monument,108272,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05430545755671901 54.46985404320518853),yes,natural_monument,108271,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05443438064469674 54.4698893880551438),yes,natural_monument,108270,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05209677300771176 54.46961147027779049),yes,natural_monument,108268,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.0522175445819002 54.46965262055600476),yes,natural_monument,108267,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05238332800243484 54.46968865172243568),yes,natural_monument,108266,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05254390617272264 54.46970427776129497),yes,natural_monument,108265,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05267389855326243 54.46971707284141928),yes,natural_monument,108264,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.0529791360089007 54.46974222287870759),yes,natural_monument,108263,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05386504505472089 54.46983741939951074),yes,natural_monument,108262,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05401738911778509 54.46985416966948179),yes,natural_monument,108261,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05416682806585627 54.46988984521873789),yes,natural_monument,108260,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.05430763961916796 54.46993491274130861),yes,natural_monument,108259,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
Point (17.054423980079779 54.46997841716198252),yes,natural_monument,108258,PL.ZIPOP.1393.PP.2263011.2354,tree,,Jarząb szwedzki,Sorbus intermedia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2354
