wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.33586450936064871 47.67420996803439692),3877,yes,natural_monument,69409,PL.ZIPOP.1393.PP.1206162.740,rock,Nad Jackiem,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206162.740
Point (12.3358637576132395 47.6742113353903747),4020,yes,natural_monument,69288,PL.ZIPOP.1393.PP.1206132.604,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.604
Point (12.33586374890633053 47.67421134424661489),4021,yes,natural_monument,69291,PL.ZIPOP.1393.PP.1206132.607,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.607
Point (12.33586375604076224 47.6742113376783081),4022,yes,natural_monument,69290,PL.ZIPOP.1393.PP.1206132.606,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.606
Point (12.33586372260661967 47.67421135387604636),4023,yes,natural_monument,69293,PL.ZIPOP.1393.PP.1206132.609,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.609
Point (12.33586376017628794 47.67421133318904936),4017,yes,natural_monument,69287,PL.ZIPOP.1393.PP.1206132.603,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.603
Point (12.33586376157890818 47.6742113277969537),4018,yes,natural_monument,69286,PL.ZIPOP.1393.PP.1206132.601,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.601
Point (12.33586375703068683 47.67421133651617282),4019,yes,natural_monument,69289,PL.ZIPOP.1393.PP.1206132.605,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.605
Point (12.33586370735947568 47.67421135691994749),4028,yes,natural_monument,69296,PL.ZIPOP.1393.PP.1206132.612,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.612
Point (12.33586370959692857 47.67421135388483577),4029,yes,natural_monument,69299,PL.ZIPOP.1393.PP.1206132.616,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.616
