wkt_geom;fid;protected;denotation;ref:gid;ref:INSPIRE;natural;name;species:pl;species;url:crfop
Point (12.33587419919816597 47.67420451798273007);4271;yes;natural_monument;70219;PL.ZIPOP.1393.PP.1211023.1607;tree;;Lipa drobnolistna;Tilia cordata;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1607
Point (12.33587435757902107 47.67420453352380605);4264;yes;natural_monument;70210;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435722986569 47.6742045404187067);4265;yes;natural_monument;70213;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435698979107 47.67420453842194661);4266;yes;natural_monument;70212;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435727083736 47.67420454007914543);4267;yes;natural_monument;70215;PL.ZIPOP.1393.PP.1211023.1601;tree;;Modrzew;Larix sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1601
Point (12.3358761957561871 47.67420784835929481);4308;yes;natural_monument;69960;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619648360167 47.67420785277648321);4309;yes;natural_monument;69963;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619586870865 47.67420785116593152);4310;yes;natural_monument;69962;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619751384246 47.67420785070039102);4311;yes;natural_monument;69965;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619656525369 47.67420784749862861);4304;yes;natural_monument;69956;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
