wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (19.9810511116393883 49.27507168368847346);182670;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98104861288834755 49.27486249952345077);182673;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105104413844302 49.27492267604152687);182672;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105540405231295 49.27472648085036155);182675;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105371560514598 49.27479389081631211);182674;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98104622392756013 49.27459644654376092);182677;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.981045421126435 49.27466690833851004);182676;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98104143571929825 49.27452837172390332);182679;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98104146574785034 49.27455068671133631);182678;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105184135715007 49.27437351636091734);182681;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.9810548510176389 49.27444205618844109);182680;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105832733724441 49.27422211354728177);182683;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105403686352233 49.27431087106803176);182682;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98106341750735737 49.27402807167130305);182685;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98106766809319979 49.27410370945028717);182684;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98108070472594022 49.27388737482823444);182687;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98107127342625944 49.27397347658357063);182686;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98108951333560768 49.27376294652578537);182689;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
