ref:gid,ref:inspire,natural,name,species:pl,species,url:crfop,leaf_type,protected,denotation
91159.0,PL.ZIPOP.1393.PP.1609092.50,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609092.50,broadleaved,yes,natural_monument
92169.0,PL.ZIPOP.1393.PP.1661011.571,tree,,Wiąz szypułkowy , Ulmus laevis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.571,broadleaved,yes,natural_monument
92171.0,PL.ZIPOP.1393.PP.1661011.631,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.631,broadleaved,yes,natural_monument
92167.0,PL.ZIPOP.1393.PP.1661011.569,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.569,broadleaved,yes,natural_monument
92168.0,PL.ZIPOP.1393.PP.1661011.570,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.570,broadleaved,yes,natural_monument
92165.0,PL.ZIPOP.1393.PP.1661011.567,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.567,broadleaved,yes,natural_monument
92166.0,PL.ZIPOP.1393.PP.1661011.568,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.568,broadleaved,yes,natural_monument
92163.0,PL.ZIPOP.1393.PP.1661011.565,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.565,broadleaved,yes,natural_monument
92164.0,PL.ZIPOP.1393.PP.1661011.566,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.566,broadleaved,yes,natural_monument
92160.0,PL.ZIPOP.1393.PP.1661011.562,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.562,broadleaved,yes,natural_monument
92162.0,PL.ZIPOP.1393.PP.1661011.564,tree,,Jesion wyniosły , Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.564,broadleaved,yes,natural_monument
92158.0,PL.ZIPOP.1393.PP.1661011.377,tree,,Wiąz szypułkowy , Ulmus laevis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.377,broadleaved,yes,natural_monument
92159.0,PL.ZIPOP.1393.PP.1661011.561,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.561,broadleaved,yes,natural_monument
92156.0,PL.ZIPOP.1393.PP.1661011.375,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.375,broadleaved,yes,natural_monument
92157.0,PL.ZIPOP.1393.PP.1661011.376,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.376,broadleaved,yes,natural_monument
92154.0,PL.ZIPOP.1393.PP.1661011.373,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.373,broadleaved,yes,natural_monument
92155.0,PL.ZIPOP.1393.PP.1661011.374,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.374,broadleaved,yes,natural_monument
92152.0,PL.ZIPOP.1393.PP.1661011.371,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.371,broadleaved,yes,natural_monument
92153.0,PL.ZIPOP.1393.PP.1661011.372,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.372,broadleaved,yes,natural_monument
92149.0,PL.ZIPOP.1393.PP.1661011.335,tree,,Klon polny , Acer campestre,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.335,broadleaved,yes,natural_monument
92151.0,PL.ZIPOP.1393.PP.1661011.370,tree,,Miłorząb dwuklapowy, Ginkgo biloba,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.370,broadleaved,yes,natural_monument
