wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (19.25822304601754809 53.20666676671073958);37450;PL.ZIPOP.1393.PP.0402022.53;drzewo;;78328;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.53
Point (19.25868163563670166 53.2067405842563943);37451;PL.ZIPOP.1393.PP.0402022.53;drzewo;;78328;Kasztanowiec - Aesculus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.53
Point (19.25778332231717371 53.20671663431855336);37452;PL.ZIPOP.1393.PP.0402022.53;drzewo;;78328;Wiąz - Ulmus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.53
Point (19.25781754733674589 53.20680441056069299);37453;PL.ZIPOP.1393.PP.0402022.53;drzewo;;78328;Wiąz - Ulmus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.53
Point (19.2579416058835271 53.20663797289289221);37454;PL.ZIPOP.1393.PP.0402022.53;drzewo;;78328;Wiąz - Ulmus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.53
Point (19.25806664317660122 53.2070833377922412);37455;PL.ZIPOP.1393.PP.0402022.53;drzewo;;78328;Wiąz - Ulmus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.53
Point (19.28549176341919136 53.30501374915500179);37456;PL.ZIPOP.1393.PP.0402022.55;drzewo;;78329;Dąb szypułkowy - Quercus robur;2010-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.55
Point (19.28539998569248581 53.30505002546802729);37457;PL.ZIPOP.1393.PP.0402022.56;drzewo;;78330;Dąb szypułkowy - Quercus robur;2010-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.56
Point (19.28579065248188229 53.30461101467160745);37458;PL.ZIPOP.1393.PP.0402022.57;drzewo;;78331;Dąb szypułkowy - Quercus robur;2010-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.57
Point (19.28591682188017131 53.30504923744333468);37459;PL.ZIPOP.1393.PP.0402022.58;drzewo;;78332;Dąb szypułkowy - Quercus robur;2010-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.58
Point (19.2859166044481114 53.30501668801942117);37460;PL.ZIPOP.1393.PP.0402022.59;drzewo;;78333;Dąb szypułkowy - Quercus robur;2010-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.59
Point (19.28606667466753422 53.30510004094772114);37461;PL.ZIPOP.1393.PP.0402022.60;drzewo;;78334;Dąb szypułkowy - Quercus robur;2010-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.60
